Model_Year,Manufacturer,Brand,Model,Drive_Type,Vehicle_Class,City_MPGe,Hwy_MPGe,Combined_MPGe,Annual_Fuel_Cost,FE_Rating,GHG_Rating,Savings_5yr,Extra_Spend_5yr,City_CO2,Hwy_CO2,Combined_CO2,Range_Miles_Combined,Range_Miles_City,Range_Miles_Hwy,Charge_Time_240V_hrs,Charge_Time_120V_hrs,Motor_Power_kW,Battery_Type,Regen_Braking_Type
2025.0,Volkswagen Group of,Audi,Q8 e-tron quattro,All Wheel Drive,Standard SUV 4WD,44.0,42.0,43.0,1050.0,9.0,10.0,4250.0,,0.0,0.0,0.0,272.0,267.0,278.0,16.0,,141 and 172,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,Q8 Sportback e-tron quattro,All Wheel Drive,Standard SUV 4WD,77.0,80.0,78.0,1050.0,9.0,10.0,4250.0,,0.0,0.0,0.0,272.0,267.0,278.0,16.0,,141 and 172,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,Q8 Sportback e-tron quattro,All Wheel Drive,Standard SUV 4WD,44.0,42.0,43.0,1050.0,9.0,10.0,4250.0,,0.0,0.0,0.0,272.0,267.0,278.0,16.0,,141 and 172,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,S e-tron GT (20in. Wheels),All Wheel Drive,Subcompact Cars,91.0,88.0,90.0,900.0,9.0,10.0,5000.0,,0.0,0.0,0.0,300.0,305.0,294.0,15.5,,"176, 176 and 415",Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,S e-tron GT (20in. Wheels),All Wheel Drive,Subcompact Cars,37.0,38.0,38.0,900.0,9.0,10.0,5000.0,,0.0,0.0,0.0,300.0,305.0,294.0,15.5,,"176, 176 and 415",Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,RS e-tron GT Performance,All Wheel Drive,Subcompact Cars,85.0,82.0,84.0,950.0,9.0,10.0,4750.0,,0.0,0.0,0.0,278.0,283.0,272.0,15.5,,252 and 415,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,RS e-tron GT Performance,All Wheel Drive,Subcompact Cars,39.0,41.0,40.0,950.0,9.0,10.0,4750.0,,0.0,0.0,0.0,278.0,283.0,272.0,15.5,,252 and 415,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,SQ8 e-tron (20in wheels),All Wheel Drive,Standard SUV 4WD,68.0,72.0,70.0,1150.0,9.0,10.0,3750.0,,0.0,0.0,0.0,242.0,237.0,249.0,16.0,,138 and 157,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,SQ8 e-tron (20in wheels),All Wheel Drive,Standard SUV 4WD,49.0,47.0,48.0,1150.0,9.0,10.0,3750.0,,0.0,0.0,0.0,242.0,237.0,249.0,16.0,,138 and 157,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,SQ8 Sportback e-tron (20in wheels),All Wheel Drive,Standard SUV 4WD,68.0,72.0,70.0,1150.0,9.0,10.0,3750.0,,0.0,0.0,0.0,242.0,237.0,249.0,16.0,,138 and 157,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,SQ8 Sportback e-tron (20in wheels),All Wheel Drive,Standard SUV 4WD,49.0,47.0,48.0,1150.0,9.0,10.0,3750.0,,0.0,0.0,0.0,242.0,237.0,249.0,16.0,,138 and 157,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,SQ8 e-tron (21/22in wheels),All Wheel Drive,Standard SUV 4WD,59.0,60.0,60.0,1350.0,10.0,10.0,2750.0,,0.0,0.0,0.0,208.0,206.0,210.0,16.0,,138 and 157,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,SQ8 e-tron (21/22in wheels),All Wheel Drive,Standard SUV 4WD,57.0,56.0,56.0,1350.0,10.0,10.0,2750.0,,0.0,0.0,0.0,208.0,206.0,210.0,16.0,,138 and 157,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,SQ8 Sportback e-tron (21/22in wheels),All Wheel Drive,Standard SUV 4WD,59.0,60.0,60.0,1350.0,10.0,10.0,2750.0,,0.0,0.0,0.0,208.0,206.0,210.0,16.0,,138 and 157,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,SQ8 Sportback e-tron (21/22in wheels),All Wheel Drive,Standard SUV 4WD,57.0,56.0,56.0,1350.0,10.0,10.0,2750.0,,0.0,0.0,0.0,208.0,206.0,210.0,16.0,,138 and 157,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,Q4 45 e-tron,"2-Wheel Drive, Rear",Standard SUV 2WD,125.0,104.0,115.0,700.0,9.0,10.0,6000.0,,0.0,0.0,0.0,288.0,265.0,317.0,12.0,,210,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,Q4 45 e-tron,"2-Wheel Drive, Rear",Standard SUV 2WD,27.0,32.0,29.0,700.0,9.0,10.0,6000.0,,0.0,0.0,0.0,288.0,265.0,317.0,12.0,,210,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,Q4 55 e-tron quattro,All Wheel Drive,Standard SUV 4WD,107.0,92.0,100.0,800.0,9.0,10.0,5500.0,,0.0,0.0,0.0,258.0,275.0,237.0,12.0,,80 and 170,Lithium Ion,Electrical Regen Brake
2025.0,Volkswagen Group of,Audi,Q4 55 e-tron quattro,All Wheel Drive,Standard SUV 4WD,31.0,37.0,34.0,800.0,9.0,10.0,5500.0,,0.0,0.0,0.0,258.0,275.0,237.0,12.0,,80 and 170,Lithium Ion,Electrical Regen Brake
