Model_Year,Manufacturer,Brand,Model,Engine_Displacement,Cylinders,Transmission,Num_Gears,Drive_Type,City_MPG,Hwy_MPG,Combined_MPG,Vehicle_Class,Annual_Fuel_Cost,FE_Rating,GHG_Rating,City_CO2,Hwy_CO2,Combined_CO2,Savings_5yr,Extra_Spend_5yr,Gas_Guzzler,Air_Aspiration,StopStart_System
2025,Honda,Acura,ADX AWD,1.5,4,Auto(AV-S7),7,All Wheel Drive,25,30,27,Small Station Wagons,2350,5,5,355,291,329,,2250.0,,Turbocharged,Yes
2025,Honda,Acura,ADX FWD,1.5,4,Auto(AV-S7),7,"2-Wheel Drive, Front",26,31,28,Small Station Wagons,2300,6,6,341,286,317,,2000.0,,Turbocharged,Yes
2025,Honda,Acura,INTEGRA,1.5,4,Auto(AV-S7),7,"2-Wheel Drive, Front",30,37,33,Large Cars,1950,6,6,296,237,269,,250.0,,Turbocharged,Yes
2025,Honda,Acura,INTEGRA,2.0,4,Manual(M6),6,"2-Wheel Drive, Front",21,28,24,Large Cars,2650,5,5,419,312,371,,3750.0,,Turbocharged,No
2025,Honda,Acura,INTEGRA A-SPEC,1.5,4,Auto(AV-S7),7,"2-Wheel Drive, Front",29,36,32,Large Cars,2000,6,6,304,245,277,,500.0,,Turbocharged,Yes
2025,Honda,Acura,INTEGRA A-SPEC,1.5,4,Manual(M6),6,"2-Wheel Drive, Front",26,36,30,Large Cars,2100,6,6,339,241,293,,1000.0,,Turbocharged,Yes
2025,Honda,Acura,MDX AWD,3.5,6,Auto(S10),10,All Wheel Drive,19,25,21,Small SUV 4WD,3050,4,4,477,357,423,,5750.0,,Naturally Aspirated,Yes
2025,Honda,Acura,MDX AWD Type-S,3.0,6,Auto(S10),10,All Wheel Drive,17,21,19,Standard SUV 4WD,3350,4,4,523,414,474,,7250.0,,Turbocharged,Yes
2025,Honda,Acura,MDX FWD,3.5,6,Auto(S10),10,"2-Wheel Drive, Front",19,26,22,Small SUV 2WD,2900,5,5,470,339,411,,5000.0,,Naturally Aspirated,Yes
2025,Honda,Acura,RDX AWD,2.0,4,Auto(S10),10,All Wheel Drive,21,27,23,Small SUV 4WD,2750,5,5,415,322,385,,4250.0,,Turbocharged,Yes
2025,Honda,Acura,RDX AWD A-SPEC,2.0,4,Auto(S10),10,All Wheel Drive,21,26,23,Small SUV 4WD,2750,5,5,423,342,386,,4250.0,,Turbocharged,Yes
2025,Honda,Acura,TLX AWD A-SPEC,2.0,4,Auto(S10),10,All Wheel Drive,21,29,24,Compact Cars,2650,5,5,425,305,371,,3750.0,,Turbocharged,Yes
2025,Honda,Acura,TLX FWD,2.0,4,Auto(S10),10,"2-Wheel Drive, Front",22,31,25,Compact Cars,2550,5,5,404,289,352,,3250.0,,Turbocharged,Yes
2025,Honda,Acura,TLX Type-S,3.0,6,Auto(S10),10,All Wheel Drive,19,25,21,Compact Cars,3050,4,4,464,353,420,,5750.0,,Turbocharged,Yes
2025,FCA US LLC,ALFA ROMEO,Giulia,2.0,4,Auto(A8),8,"2-Wheel Drive, Rear",24,33,27,Midsize Cars,2350,5,5,377,273,330,,2250.0,,Turbocharged,Yes
2025,FCA US LLC,ALFA ROMEO,Giulia AWD,2.0,4,Auto(A8),8,All Wheel Drive,23,31,26,Midsize Cars,2450,5,5,395,291,348,,2750.0,,Turbocharged,Yes
2025,FCA US LLC,ALFA ROMEO,Stelvio AWD,2.0,4,Auto(A8),8,All Wheel Drive,22,28,24,Small SUV 4WD,2650,5,5,407,311,364,,3750.0,,Turbocharged,Yes
2025,FCA US LLC,ALFA ROMEO,Tonale AWD,2.0,4,Auto(A9),9,All Wheel Drive,21,29,24,Small SUV 4WD,2200,5,5,425,308,372,,1500.0,,Turbocharged,Yes
2025,aston martin,Aston Martin Lagonda Ltd,DB12 V8,4.0,8,Auto(A8),8,"2-Wheel Drive, Rear",15,22,17,Minicompact Cars,3750,3,3,599,395,507,,9250.0,,Turbocharged,No
2025,aston martin,Aston Martin Lagonda Ltd,DBX 707,4.0,8,Auto(A9),9,4-Wheel Drive,15,20,17,Standard SUV 4WD,3750,3,3,602,457,536,,9250.0,,Turbocharged,No
2025,aston martin,Aston Martin Lagonda Ltd,Vanquish,5.2,12,Auto(A8),8,"2-Wheel Drive, Rear",13,21,16,Two Seaters,4000,3,3,671,431,563,,10500.0,G,Turbocharged,No
2025,aston martin,Aston Martin Lagonda Ltd,Vantage,4.0,8,Auto(A8),8,"2-Wheel Drive, Rear",15,22,18,Two Seaters,3550,4,4,579,399,498,,8250.0,,Turbocharged,No
2025,Volkswagen Group of,Audi,A3 quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,24,34,28,Subcompact Cars,2300,6,6,364,262,318,,2000.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A4 allroad quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,23,30,26,Small Station Wagons,2450,5,5,389,293,346,,2750.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A4 quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,26,36,29,Compact Cars,2200,6,6,344,248,301,,1500.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A4 S line quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,23,32,26,Compact Cars,2450,5,5,389,279,339,,2750.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A5 quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,22,31,26,Midsize Cars,2450,5,5,399,287,349,,2750.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A5 Sportback quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,26,36,29,Midsize Cars,2200,6,6,344,248,301,,1500.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A5 Sportback S line quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,23,32,26,Midsize Cars,2450,5,5,389,279,339,,2750.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A6 allroad quattro,3.0,6,Auto(AM-S7),7,All Wheel Drive,22,30,25,Midsize Station Wagons,2550,5,5,406,295,356,,3250.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A6 quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,24,31,26,Midsize Cars,2450,5,5,379,291,339,,2750.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A6 quattro,3.0,6,Auto(AM-S7),7,All Wheel Drive,22,30,25,Midsize Cars,2550,5,5,406,295,356,,3250.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A7 quattro,3.0,6,Auto(AM-S7),7,All Wheel Drive,22,30,25,Midsize Cars,2550,5,5,406,295,356,,3250.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,A8 quattro,3.0,6,Auto(S8),8,All Wheel Drive,19,27,22,Large Cars,2900,5,5,480,334,414,,5000.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q3,2.0,4,Auto(S8),8,All Wheel Drive,22,29,25,Small SUV 4WD,2100,5,5,406,303,360,,1000.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q3 S line,2.0,4,Auto(S8),8,All Wheel Drive,20,28,23,Small SUV 4WD,2300,5,5,445,314,386,,2000.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q5 quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,23,29,26,Small SUV 4WD,2450,5,5,382,301,346,,2750.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q5 S line quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,22,28,25,Small SUV 4WD,2550,5,5,400,319,363,,3250.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q5 Sportback S line quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,22,28,25,Small SUV 4WD,2550,5,5,400,319,363,,3250.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q5 Sportback TFSI quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,22,30,25,Small SUV 4WD,2550,5,5,408,298,358,,3250.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q5 TFSI quattro,2.0,4,Auto(AM-S7),7,All Wheel Drive,22,30,25,Small SUV 4WD,2550,5,5,408,298,358,,3250.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q7,2.0,4,Auto(S8),8,All Wheel Drive,20,26,22,Standard SUV 4WD,2900,5,5,453,347,405,,5000.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q7,3.0,6,Auto(S8),8,All Wheel Drive,18,23,20,Standard SUV 4WD,3200,4,4,492,380,442,,6500.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,Q8 quattro,3.0,6,Auto(S8),8,All Wheel Drive,17,23,19,Standard SUV 4WD,3350,4,4,514,392,459,,7250.0,,Turbocharged,Yes
2025,Volkswagen Group of,Audi,RS 3,2.5,5,Auto(AM-S7),7,All Wheel Drive,20,29,23,Subcompact Cars,2750,5,5,453,302,385,,4250.0,,Turbocharged,No
2025,Volkswagen Group of,Audi,RS 5 Sportback,2.9,6,Auto(S8),8,All Wheel Drive,18,25,20,Midsize Cars,3200,4,4,502,361,438,,6500.0,,Turbocharged,No
2025,Volkswagen Group of,Audi,RS 6 Avant,4.0,8,Auto(S8),8,All Wheel Drive,14,21,17,Midsize Station Wagons,3750,3,3,638,416,538,,9250.0,G,Turbocharged,Yes
2025,Volkswagen Group of,Audi,RS 7,4.0,8,Auto(S8),8,All Wheel Drive,14,21,17,Midsize Cars,3750,3,3,638,416,538,,9250.0,G,Turbocharged,Yes
2025,Volkswagen Group of,Audi,RS Q8 Performance,4.0,8,Auto(S8),8,All Wheel Drive,14,20,16,Standard SUV 4WD,4000,3,3,622,454,547,,10500.0,,Turbocharged,Yes
